2.7153e-05,-1.5708,-1.956e-05,-1.5708,-4.1802e-06,-3.2817e-05
0.00021384,-1.571,-0.00015298,-1.5708,-3.3753e-05,-0.00025913
0.00071026,-1.5715,-0.0005045,-1.5708,-0.00011497,-0.00086308
0.0016565,-1.5724,-0.0011679,-1.5709,-0.00027499,-0.0020186
0.0031826,-1.5738,-0.0022267,-1.5709,-0.0005419,-0.0038895
0.0054083,-1.5758,-0.003754,-1.571,-0.00094465,-0.0066296
0.0084438,-1.5786,-0.0058129,-1.5712,-0.001513,-0.010383
0.012389,-1.5821,-0.0084565,-1.5713,-0.0022777,-0.015282
0.017334,-1.5865,-0.011728,-1.5715,-0.0032701,-0.021453
0.023361,-1.5918,-0.015661,-1.5718,-0.0045223,-0.029009
0.030539,-1.5981,-0.020281,-1.572,-0.0060672,-0.038055
0.03893,-1.6053,-0.025602,-1.5723,-0.0079381,-0.048686
0.048588,-1.6134,-0.031631,-1.5727,-0.010169,-0.060991
0.059555,-1.6225,-0.038367,-1.573,-0.012794,-0.075045
0.071867,-1.6326,-0.0458,-1.5734,-0.015849,-0.090917
0.085548,-1.6436,-0.053912,-1.5738,-0.019369,-0.10867
0.10062,-1.6555,-0.062678,-1.5742,-0.023388,-0.12835
0.11708,-1.6683,-0.072067,-1.5747,-0.027943,-0.15001
0.13495,-1.682,-0.08204,-1.5751,-0.033069,-0.17368
0.15421,-1.6964,-0.092552,-1.5756,-0.038802,-0.19939
0.17484,-1.7115,-0.10356,-1.5761,-0.045177,-0.22716
0.19684,-1.7272,-0.11499,-1.5765,-0.05223,-0.25701
0.22016,-1.7435,-0.12681,-1.577,-0.059995,-0.28894
0.24478,-1.7603,-0.13893,-1.5774,-0.068508,-0.32296
0.27065,-1.7774,-0.1513,-1.5778,-0.0778,-0.35907
0.29773,-1.7949,-0.16383,-1.5783,-0.087907,-0.39724
0.32596,-1.8126,-0.17647,-1.5786,-0.098861,-0.43748
0.35529,-1.8303,-0.18913,-1.579,-0.11069,-0.47975
0.38566,-1.8481,-0.20174,-1.5794,-0.12343,-0.52403
